Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price,Accessed 6/2/2022,,,,,
5/29/17,2017,2016,D3,Q-RIN,$2.47 ,,,,,,
5/29/17,2017,2016,D3,Unverified,$2.40 ,,,,,,
5/29/17,2017,2017,D3,Q-RIN,$2.57 ,,,,,,
6/5/17,2017,2016,D3,Q-RIN,$2.48 ,,,,,,
6/5/17,2017,2017,D3,Q-RIN,$2.46 ,,,,,,
6/12/17,2017,2016,D3,Q-RIN,$2.46 ,,,,,,
6/12/17,2017,2017,D3,Q-RIN,$2.73 ,,,,,,
6/19/17,2017,2017,D3,Q-RIN,$2.45 ,,,,,,
6/26/17,2017,2016,D3,Q-RIN,$2.42 ,,,,,,
6/26/17,2017,2017,D3,Q-RIN,$2.60 ,,,,,,
6/26/17,2017,2017,D3,Unverified,$2.20 ,,,,,,
7/3/17,2017,2016,D3,Q-RIN,$2.47 ,,,,,,
7/3/17,2017,2017,D3,Q-RIN,$2.70 ,,,,,,
7/10/17,2017,2016,D3,Q-RIN,$2.45 ,,,,,,
7/10/17,2017,2017,D3,Q-RIN,$2.66 ,,,,,,
7/10/17,2017,2017,D3,Unverified,$2.45 ,,,,,,
7/17/17,2017,2016,D3,Q-RIN,$2.29 ,,,,,,
7/17/17,2017,2017,D3,Q-RIN,$2.40 ,,,,,,
7/24/17,2017,2017,D3,Q-RIN,$2.67 ,,,,,,
7/31/17,2017,2017,D3,Q-RIN,$2.77 ,,,,,,
8/7/17,2017,2016,D3,Q-RIN,$2.60 ,,,,,,
8/7/17,2017,2017,D3,Q-RIN,$2.77 ,,,,,,
8/14/17,2017,2016,D3,Q-RIN,$2.61 ,,,,,,
8/14/17,2017,2017,D3,Q-RIN,$2.71 ,,,,,,
8/21/17,2017,2016,D3,Q-RIN,$2.67 ,,,,,,
8/21/17,2017,2017,D3,Q-RIN,$2.64 ,,,,,,
8/28/17,2017,2016,D3,Q-RIN,$2.91 ,,,,,,
8/28/17,2017,2017,D3,Q-RIN,$2.75 ,,,,,,
9/4/17,2017,2016,D3,Q-RIN,$2.90 ,,,,,,
9/4/17,2017,2017,D3,Q-RIN,$2.95 ,,,,,,
9/11/17,2017,2016,D3,Q-RIN,$2.53 ,,,,,,
9/11/17,2017,2017,D3,Q-RIN,$2.70 ,,,,,,
9/11/17,2017,2017,D3,Unverified,$2.16 ,,,,,,
9/18/17,2017,2016,D3,Q-RIN,$2.89 ,,,,,,
9/18/17,2017,2017,D3,Q-RIN,$2.65 ,,,,,,
9/25/17,2017,2016,D3,Q-RIN,$2.41 ,,,,,,
9/25/17,2017,2017,D3,Q-RIN,$2.76 ,,,,,,
10/2/17,2017,2017,D3,Q-RIN,$2.82 ,,,,,,
10/9/17,2017,2017,D3,Q-RIN,$2.84 ,,,,,,
10/16/17,2017,2017,D3,Q-RIN,$2.54 ,,,,,,
10/23/17,2017,2016,D3,Q-RIN,$2.83 ,,,,,,
10/23/17,2017,2017,D3,Q-RIN,$2.81 ,,,,,,
10/23/17,2017,2017,D3,Unverified,$2.60 ,,,,,,
10/30/17,2017,2016,D3,Q-RIN,$2.82 ,,,,,,
10/30/17,2017,2017,D3,Q-RIN,$2.71 ,,,,,,
11/6/17,2017,2016,D3,Q-RIN,$2.84 ,,,,,,
11/6/17,2017,2017,D3,Q-RIN,$2.84 ,,,,,,
11/13/17,2017,2016,D3,Q-RIN,$2.82 ,,,,,,
11/13/17,2017,2017,D3,Q-RIN,$2.74 ,,,,,,
11/13/17,2017,2017,D3,Unverified,$2.75 ,,,,,,
11/20/17,2017,2017,D3,Q-RIN,$2.61 ,,,,,,
11/27/17,2017,2017,D3,Q-RIN,$2.76 ,,,,,,
12/4/17,2017,2017,D3,Q-RIN,$2.57 ,,,,,,
12/4/17,2017,2017,D3,Unverified,$2.88 ,,,,,,
12/11/17,2017,2016,D3,Q-RIN,$2.87 ,,,,,,
12/11/17,2017,2017,D3,Q-RIN,$2.94 ,,,,,,
12/11/17,2017,2017,D3,Unverified,$2.92 ,,,,,,
12/18/17,2017,2016,D3,Q-RIN,$2.40 ,,,,,,
12/18/17,2017,2017,D3,Q-RIN,$2.68 ,,,,,,
12/18/17,2017,2017,D3,Unverified,$2.75 ,,,,,,
